Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
0.030	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.175301	0.315589
0.040	0.000000	0.000000	0.000000	0.000000	-1.554078	-0.174423	-0.158392	-0.014332
0.050	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.060	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.479673	0.297260
0.070	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.175301	0.315589
0.080	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	0.315589
0.090	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	0.315589
0.100	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.479673	-0.032661
0.110	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.315589
0.120	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.175301	-0.032661
0.130	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
0.140	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.175301	0.297260
0.150	0.000000	0.000000	0.000000	0.000000	-1.554078	0.135701	0.129070	-0.014332
0.160	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.479673	0.297260
0.170	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.496582	-0.014332
0.180	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	0.297260
0.190	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.050990
0.200	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	-0.014332
0.210	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	0.297260
0.220	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	0.297260
0.230	0.000000	0.000000	0.000000	0.000000	-1.554078	-0.174423	-0.175301	-0.032661
0.240	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	0.297260
0.250	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.297260
0.260	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.050990
0.270	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.315589
0.280	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.479673	-0.032661
0.290	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.174423	-0.479673	0.297260
0.300	0.000000	0.000000	0.000000	0.000000	-1.538544	0.135701	-0.175301	-0.032661
0.310	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.175301	0.297260
0.320	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.297260
0.330	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.315589
0.340	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	0.297260
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.297260
0.360	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.333918
0.370	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.175301	-0.032661
0.380	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.158100	-0.175301	-0.032661
0.390	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	0.297260
0.400	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.050990
0.410	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
0.420	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.175301	0.297260
0.430	0.000000	0.000000	0.000000	0.000000	-1.554078	-0.158100	-0.158392	0.297260
0.440	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
0.450	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	0.297260
0.460	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.190745	-0.158392	0.297260
0.470	0.000000	0.000000	0.000000	0.000000	-1.538544	0.135701	-0.158392	0.315589
0.480	0.000000	0.000000	0.000000	0.000000	-1.554078	-0.174423	-0.175301	0.315589
0.490	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.175301	0.297260
0.500	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.175301	-0.014332
0.510	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.158392	-0.014332
0.520	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.479673	0.315589
0.530	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
0.540	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
0.550	0.000000	0.000000	0.000000	0.000000	-1.538544	0.152023	-0.175301	0.315589
0.560	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.479673	0.333918
0.570	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.158392	-0.032661
0.580	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.190745	-0.479673	0.315589
0.590	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.297260
0.600	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.175301	-0.050990
0.610	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	-0.032661
0.620	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	0.315589
0.630	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.014332
0.640	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.158100	-0.175301	-0.032661
0.650	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.175301	0.297260
0.660	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.175301	0.315589
0.670	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.174423	-0.192211	-0.032661
0.680	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.297260
0.690	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
0.700	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.710	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	-0.050990
0.720	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.730	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	-0.014332
0.740	0.000000	0.000000	0.000000	0.000000	-1.538544	0.135701	-0.175301	0.297260
0.750	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.297260
0.760	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.175301	0.297260
0.770	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.014332
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
0.790	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	0.315589
0.800	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	0.315589
0.810	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.820	0.000000	0.000000	0.000000	0.000000	-1.554078	-0.174423	-0.158392	-0.032661
0.830	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.479673	-0.014332
0.840	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.192211	0.315589
0.850	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.860	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.297260
0.870	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.175301	0.297260
0.880	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	-0.014332
0.890	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.032661
0.900	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.158100	-0.175301	-0.032661
0.910	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.158392	0.297260
0.920	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.032661
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	0.297260
0.940	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.297260
0.950	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	0.297260
0.960	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.158392	0.315589
0.970	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.175301	0.297260
0.980	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.174423	-0.479673	0.315589
0.990	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
1.000	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.174423	-0.175301	-0.032661
1.010	15.000000	15.000000	15.000000	15.000000	-1.243411	-0.158100	-0.158392	0.315589
1.020	15.000000	15.000000	15.000000	15.000000	-1.243411	0.152023	-0.158392	0.297260
1.030	15.000000	15.000000	15.000000	15.000000	-1.243411	0.135701	-0.158392	0.315589
1.040	15.000000	15.000000	15.000000	15.000000	-0.358010	1.049748	0.467260	1.653602
1.050	15.000000	15.000000	15.000000	15.000000	1.102123	2.290241	2.327307	3.358194
1.060	15.000000	15.000000	15.000000	15.000000	2.857391	3.824536	3.866073	5.411036
1.070	15.000000	15.000000	15.000000	15.000000	4.892258	5.995399	6.030491	7.463878
1.080	15.000000	15.000000	15.000000	15.000000	6.958192	7.856138	8.211819	9.846641
1.090	15.000000	15.000000	15.000000	15.000000	8.697926	9.700556	10.071865	12.229404
1.100	15.000000	15.000000	15.000000	15.000000	10.748327	10.614603	12.253193	14.612167
1.110	15.000000	15.000000	15.000000	15.000000	12.208461	11.855096	14.096330	16.316759
1.120	15.000000	15.000000	15.000000	15.000000	12.503594	12.785466	14.417611	16.665009
1.130	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	16.665009
1.140	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	16.316759
1.150	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.738892	15.986838
1.160	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
1.170	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	16.316759
1.180	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
1.190	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.200	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.210	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.968509
1.220	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.721982	15.968509
1.230	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.417611	15.986838
1.240	15.000000	15.000000	15.000000	15.000000	12.798728	14.009637	14.400702	15.968509
1.250	15.000000	15.000000	15.000000	15.000000	12.798728	14.025959	14.417611	15.638588
1.260	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
1.270	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.417611	15.968509
1.280	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.417611	16.005167
1.290	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.656917
1.300	15.000000	15.000000	15.000000	15.000000	12.192927	14.009637	14.400702	15.986838
1.310	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.986838
1.320	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.705073	15.986838
1.330	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
1.340	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.417611	15.986838
1.350	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
1.360	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.434521	15.986838
1.370	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.968509
1.380	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.656917
1.390	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.950180
1.400	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.410	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.986838
1.420	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
1.430	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.638588
1.440	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.968509
1.450	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.460	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.968509
1.470	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.986838
1.480	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.638588
1.490	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
1.500	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.986838
1.510	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.417611	15.638588
1.520	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.417611	15.968509
1.530	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.738892	15.968509
1.540	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.620259
1.550	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.400702	15.986838
1.560	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.570	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.968509
1.580	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.620259
1.590	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.986838
1.600	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.738892	15.620259
1.610	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.400702	15.638588
1.620	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.417611	15.968509
1.630	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
1.640	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.721982	15.638588
1.650	15.000000	15.000000	15.000000	15.000000	12.519127	14.009637	14.721982	15.968509
1.660	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.721982	15.986838
1.670	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
1.680	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.690	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.656917
1.700	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
1.710	15.000000	15.000000	15.000000	15.000000	12.519127	14.009637	14.417611	15.620259
1.720	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.968509
1.730	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.705073	15.986838
1.740	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.968509
1.750	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
1.760	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
1.770	15.000000	15.000000	15.000000	15.000000	12.503594	14.042282	14.417611	16.005167
1.780	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
1.790	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
1.800	15.000000	15.000000	15.000000	15.000000	12.503594	13.993315	14.400702	15.638588
1.810	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.400702	15.638588
1.820	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
1.830	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
1.840	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
1.850	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.721982	15.968509
1.860	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.986838
1.870	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.638588
1.880	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.705073	15.968509
1.890	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
1.900	15.000000	15.000000	15.000000	15.000000	12.798728	14.009637	14.417611	15.656917
1.910	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.721982	15.986838
1.920	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.417611	15.986838
1.930	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.986838
1.940	15.000000	15.000000	15.000000	15.000000	12.798728	14.009637	14.400702	15.638588
1.950	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.705073	15.638588
1.960	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.638588
1.970	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.400702	15.986838
1.980	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.968509
1.990	15.000000	15.000000	15.000000	15.000000	12.519127	14.025959	14.400702	15.968509
2.000	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.721982	15.986838
2.010	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.986838
2.020	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
2.030	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.638588
2.040	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
2.050	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.417611	15.986838
2.060	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
2.070	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.721982	15.986838
2.080	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
2.090	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.968509
2.100	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	16.005167
2.110	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.638588
2.120	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.638588
2.130	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
2.140	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
2.150	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.986838
2.160	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
2.170	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.986838
2.180	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.400702	15.968509
2.190	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.986838
2.200	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.400702	15.986838
2.210	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.400702	15.968509
2.220	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.638588
2.230	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.986838
2.240	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.986838
2.250	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.638588
2.260	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.400702	15.986838
2.270	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.705073	15.986838
2.280	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.721982	15.968509
2.290	15.000000	15.000000	15.000000	15.000000	12.488061	13.993315	14.400702	15.968509
2.300	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.417611	15.968509
2.310	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
2.320	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.417611	15.968509
2.330	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.417611	15.638588
2.340	15.000000	15.000000	15.000000	15.000000	12.488061	14.009637	14.417611	15.986838
2.350	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.721982	15.986838
2.360	15.000000	15.000000	15.000000	15.000000	12.503594	14.009637	14.400702	15.968509
2.370	15.000000	15.000000	15.000000	15.000000	12.488061	14.025959	14.721982	15.968509
2.380	15.000000	15.000000	15.000000	15.000000	12.503594	14.025959	14.400702	15.968509
