Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	12.488061	14.009637	14.417611	15.986838
0.030	0.000000	0.000000	0.000000	0.000000	12.208461	14.009637	14.400702	15.638588
0.040	0.000000	0.000000	0.000000	0.000000	11.043460	13.079267	13.470678	13.952325
0.050	0.000000	0.000000	0.000000	0.000000	9.272660	11.234850	11.610631	12.595983
0.060	0.000000	0.000000	0.000000	0.000000	7.812526	9.684233	10.054956	10.194891
0.070	0.000000	0.000000	0.000000	0.000000	5.762125	7.839816	8.194909	8.142049
0.080	0.000000	0.000000	0.000000	0.000000	3.727258	5.375152	5.726120	5.777615
0.090	0.000000	0.000000	0.000000	0.000000	1.971990	3.204289	3.544792	3.376523
0.100	0.000000	0.000000	0.000000	0.000000	-0.062877	1.359872	1.059093	0.993760
0.110	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.484546	-0.479673	-0.692503
0.120	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.484546	-0.479673	-0.692503
0.130	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.778347	-0.496582	-0.344253
0.140	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.468224	-0.175301	-0.362582
0.150	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.484546	-0.479673	-0.014332
0.160	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.170	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.175301	-0.362582
0.180	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.362582
0.190	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.200	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.210	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.220	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.230	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.175301	-0.014332
0.240	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.158392	-0.014332
0.250	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.032661
0.260	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.344253
0.270	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.280	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.290	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.014332
0.300	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.310	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.362582
0.320	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.330	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.340	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.360	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.496582	-0.032661
0.370	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.014332
0.380	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.479673	-0.014332
0.390	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.380911
0.400	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
0.410	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.158392	-0.032661
0.420	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.129070	-0.032661
0.430	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.440	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.450	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.479673	-0.014332
0.460	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.129070	-0.032661
0.470	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.479673	-0.014332
0.480	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
0.490	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	0.145979	-0.362582
0.500	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.032661
0.510	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.520	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
0.530	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
0.540	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.362582
0.550	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.560	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.462763	-0.032661
0.570	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	-0.014332
0.580	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.192211	-0.014332
0.590	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
0.600	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.610	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	0.129070	-0.014332
0.620	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.174423	-0.158392	-0.032661
0.630	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.014332
0.640	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.362582
0.650	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.175301	-0.032661
0.660	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.158392	-0.032661
0.670	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.680	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.192211	-0.014332
0.690	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.700	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.192211	-0.362582
0.710	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.032661
0.720	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.730	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.740	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.750	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.014332
0.760	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.770	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.362582
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.362582
0.790	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.800	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
0.810	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.820	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
0.830	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.479673	-0.032661
0.840	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.014332
0.850	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.014332
0.860	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	0.003997
0.870	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.880	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.032661
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.900	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.014332
0.910	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.920	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.174423	-0.158392	-0.014332
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.940	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.950	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.960	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.970	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.014332
0.980	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
0.990	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
1.000	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
1.010	10.000000	10.000000	10.000000	10.000000	-1.258944	-0.158100	-0.175301	-0.032661
1.020	10.000000	10.000000	10.000000	10.000000	-1.243411	-0.158100	-0.175301	-0.362582
1.030	10.000000	10.000000	10.000000	10.000000	-1.554078	-0.174423	-0.175301	-0.344253
1.040	10.000000	10.000000	10.000000	10.000000	-1.243411	-0.158100	-0.462763	-0.032661
1.050	10.000000	10.000000	10.000000	10.000000	-0.948277	0.135701	0.145979	0.315589
1.060	10.000000	10.000000	10.000000	10.000000	0.216723	1.359872	1.076003	1.671931
1.070	10.000000	10.000000	10.000000	10.000000	1.676857	2.600365	2.936050	3.724773
1.080	10.000000	10.000000	10.000000	10.000000	3.152524	4.444782	4.474816	5.429365
1.090	10.000000	10.000000	10.000000	10.000000	4.892258	5.685275	6.334862	7.482207
1.100	10.000000	10.000000	10.000000	10.000000	6.958192	7.546015	8.516190	9.168470
1.110	10.000000	10.000000	10.000000	10.000000	7.517392	8.476385	9.141842	10.873062
1.120	10.000000	10.000000	10.000000	10.000000	7.828059	8.770186	9.446213	10.561470
1.130	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.446213	10.524812
1.140	10.000000	10.000000	10.000000	10.000000	7.517392	9.080309	9.446213	10.524812
1.150	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.543141
1.160	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.543141
1.170	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.446213	10.194891
1.180	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.141842	10.506483
1.190	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.429304	10.873062
1.200	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.210	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.543141
1.220	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.429304	10.873062
1.230	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.446213	10.543141
1.240	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.767494	10.524812
1.250	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.524812
1.260	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.750585	10.873062
1.270	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.429304	10.524812
1.280	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.429304	10.543141
1.290	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.750585	10.873062
1.300	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.310	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.429304	10.506483
1.320	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.543141
1.330	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.446213	10.543141
1.340	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.873062
1.350	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.429304	10.873062
1.360	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.767494	10.543141
1.370	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.141842	10.506483
1.380	10.000000	10.000000	10.000000	10.000000	7.812526	9.096631	9.446213	10.524812
1.390	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.124933	10.524812
1.400	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.463123	10.524812
1.410	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.750585	10.194891
1.420	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.429304	10.524812
1.430	10.000000	10.000000	10.000000	10.000000	7.812526	9.063987	9.463123	10.543141
1.440	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.450	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.543141
1.460	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.429304	10.524812
1.470	10.000000	10.000000	10.000000	10.000000	7.812526	9.374110	9.750585	10.873062
1.480	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.429304	10.854733
1.490	10.000000	10.000000	10.000000	10.000000	7.828059	9.063987	9.446213	10.854733
1.500	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.873062
1.510	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.446213	10.543141
1.520	10.000000	10.000000	10.000000	10.000000	7.812526	9.063987	9.446213	10.524812
1.530	10.000000	10.000000	10.000000	10.000000	7.828059	9.063987	9.429304	10.543141
1.540	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.429304	10.873062
1.550	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.854733
1.560	10.000000	10.000000	10.000000	10.000000	7.812526	9.374110	9.429304	10.524812
1.570	10.000000	10.000000	10.000000	10.000000	7.517392	9.080309	9.446213	10.543141
1.580	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.463123	10.873062
1.590	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.524812
1.600	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.524812
1.610	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.750585	10.543141
1.620	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.429304	10.506483
1.630	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.640	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.429304	10.543141
1.650	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.524812
1.660	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.429304	10.873062
1.670	10.000000	10.000000	10.000000	10.000000	7.812526	9.096631	9.446213	10.524812
1.680	10.000000	10.000000	10.000000	10.000000	7.812526	9.063987	9.750585	10.543141
1.690	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.446213	10.524812
1.700	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.524812
1.710	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.543141
1.720	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.446213	10.524812
1.730	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.873062
1.740	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.524812
1.750	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.543141
1.760	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.750585	10.873062
1.770	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.767494	10.524812
1.780	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.463123	10.543141
1.790	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.141842	10.873062
1.800	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.524812
1.810	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.446213	10.524812
1.820	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.463123	10.524812
1.830	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.840	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.850	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.543141
1.860	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.446213	10.873062
1.870	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.429304	10.524812
1.880	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.873062
1.890	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.873062
1.900	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.446213	10.873062
1.910	10.000000	10.000000	10.000000	10.000000	7.812526	9.096631	9.446213	10.543141
1.920	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.733675	10.854733
1.930	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.176562
1.940	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.446213	10.524812
1.950	10.000000	10.000000	10.000000	10.000000	7.812526	9.374110	9.446213	10.543141
1.960	10.000000	10.000000	10.000000	10.000000	7.843592	9.390432	9.429304	10.524812
1.970	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.980	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
1.990	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.524812
2.000	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.446213	10.873062
2.010	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.873062
2.020	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.543141
2.030	10.000000	10.000000	10.000000	10.000000	7.828059	9.063987	9.429304	10.524812
2.040	10.000000	10.000000	10.000000	10.000000	7.828059	9.406755	9.446213	10.524812
2.050	10.000000	10.000000	10.000000	10.000000	7.843592	9.080309	9.141842	10.873062
2.060	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.446213	10.524812
2.070	10.000000	10.000000	10.000000	10.000000	7.812526	9.063987	9.446213	10.543141
2.080	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.750585	10.524812
2.090	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.524812
2.100	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.194891
2.110	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.750585	10.543141
2.120	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.543141
2.130	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.873062
2.140	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.429304	10.524812
2.150	10.000000	10.000000	10.000000	10.000000	7.812526	9.406755	9.429304	10.543141
2.160	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.543141
2.170	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.141842	10.561470
2.180	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.524812
2.190	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.141842	10.524812
2.200	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.767494	10.543141
2.210	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.446213	10.524812
2.220	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.429304	10.524812
2.230	10.000000	10.000000	10.000000	10.000000	7.812526	9.374110	9.429304	10.873062
2.240	10.000000	10.000000	10.000000	10.000000	7.828059	9.096631	9.446213	10.524812
2.250	10.000000	10.000000	10.000000	10.000000	7.812526	9.390432	9.429304	10.524812
2.260	10.000000	10.000000	10.000000	10.000000	7.828059	9.080309	9.446213	10.543141
2.270	10.000000	10.000000	10.000000	10.000000	7.812526	9.096631	9.429304	10.524812
2.280	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.446213	10.524812
2.290	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.873062
2.300	10.000000	10.000000	10.000000	10.000000	7.517392	9.063987	9.141842	10.524812
2.310	10.000000	10.000000	10.000000	10.000000	7.812526	9.374110	9.446213	10.873062
2.320	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.429304	10.873062
2.330	10.000000	10.000000	10.000000	10.000000	7.812526	9.080309	9.446213	10.524812
2.340	10.000000	10.000000	10.000000	10.000000	7.828059	9.063987	9.750585	10.854733
2.350	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.446213	10.543141
2.360	10.000000	10.000000	10.000000	10.000000	7.828059	9.390432	9.446213	10.854733
2.370	10.000000	10.000000	10.000000	10.000000	7.828059	9.374110	9.446213	10.543141
