Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	-13.825415	-13.411790	-13.195629	-13.614410
0.030	0.000000	0.000000	0.000000	0.000000	-13.545815	-13.117989	-13.195629	-13.632739
0.040	0.000000	0.000000	0.000000	0.000000	-12.660415	-12.807866	-12.874348	-12.954568
0.050	0.000000	0.000000	0.000000	0.000000	-11.464348	-11.273572	-10.997392	-11.249976
0.060	0.000000	0.000000	0.000000	0.000000	-10.019747	-9.739278	-9.154254	-9.545384
0.070	0.000000	0.000000	0.000000	0.000000	-7.953813	-8.482462	-7.598579	-7.162621
0.080	0.000000	0.000000	0.000000	0.000000	-6.229612	-6.654367	-5.738532	-4.779858
0.090	0.000000	0.000000	0.000000	0.000000	-4.474345	-4.483504	-3.574114	-2.727016
0.100	0.000000	0.000000	0.000000	0.000000	-2.719078	-2.639087	-1.409696	-1.022424
0.110	0.000000	0.000000	0.000000	0.000000	-0.963811	-1.072148	0.145979	-0.014332
0.120	0.000000	0.000000	0.000000	0.000000	-0.373544	0.462146	1.092912	1.012089
0.130	0.000000	0.000000	0.000000	0.000000	-0.684211	1.686317	1.076003	0.663839
0.140	0.000000	0.000000	0.000000	0.000000	-0.963811	2.322886	0.771632	0.663839
0.150	0.000000	0.000000	0.000000	0.000000	-0.963811	3.530735	0.467260	0.663839
0.160	0.000000	0.000000	0.000000	0.000000	-0.963811	3.530735	0.129070	0.333918
0.170	0.000000	0.000000	0.000000	0.000000	-0.963811	2.926810	0.129070	0.663839
0.180	0.000000	0.000000	0.000000	0.000000	-0.948277	1.996440	0.145979	0.663839
0.190	0.000000	0.000000	0.000000	0.000000	-0.963811	0.772269	-0.175301	0.315589
0.200	0.000000	0.000000	0.000000	0.000000	-0.948277	0.462146	0.145979	0.352247
0.210	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	0.663839
0.220	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.129070	0.645510
0.230	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
0.240	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.333918
0.250	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.260	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.129070	0.315589
0.270	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.663839
0.280	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	0.315589
0.290	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.333918
0.300	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.315589
0.310	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.333918
0.320	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.315589
0.330	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	0.145979	0.315589
0.340	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.350	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.315589
0.360	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.129070	0.663839
0.370	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
0.380	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.390	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.333918
0.400	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.663839
0.410	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.663839
0.420	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.162889	0.333918
0.430	0.000000	0.000000	0.000000	0.000000	-0.979344	-0.158100	0.145979	0.333918
0.440	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.333918
0.450	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	0.663839
0.460	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.145979	0.333918
0.470	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.480	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.333918
0.490	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.297260
0.500	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.162889	0.315589
0.510	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.520	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.141482	0.333918
0.530	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.540	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.663839
0.550	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.560	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
0.570	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	0.145979	0.315589
0.580	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.315589
0.590	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.315589
0.600	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.333918
0.610	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.145979	0.315589
0.620	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.663839
0.630	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.129070	0.315589
0.640	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.650	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.145979	0.315589
0.660	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.297260
0.670	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.141778	-0.158392	0.315589
0.680	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.645510
0.690	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
0.700	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.333918
0.710	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	0.145979	0.315589
0.720	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.315589
0.730	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.162889	0.315589
0.740	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	0.162889	0.315589
0.750	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.315589
0.760	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.162889	0.315589
0.770	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.780	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.315589
0.790	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.315589
0.800	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.315589
0.810	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	0.663839
0.820	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
0.830	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.145979	0.682168
0.840	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
0.850	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	0.162889	0.315589
0.860	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.870	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.333918
0.880	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.145979	0.645510
0.890	0.000000	0.000000	0.000000	0.000000	-0.979344	-0.174423	0.145979	0.333918
0.900	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.158392	0.315589
0.910	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.141778	-0.175301	0.297260
0.920	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
0.930	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.333918
0.940	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.315589
0.950	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.145979	0.663839
0.960	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
0.970	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	0.162889	0.315589
0.980	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
0.990	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.145979	0.315589
1.000	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	0.129070	0.333918
1.010	4.227721	4.227721	4.227721	4.227721	-0.963811	-0.174423	0.145979	0.315589
1.020	8.189806	8.189806	8.189806	8.189806	-0.963811	-0.158100	0.145979	0.315589
1.030	11.637295	11.637295	11.637295	11.637295	-0.948277	-0.158100	0.145979	0.315589
1.040	14.353571	14.353571	14.353571	14.353571	-0.668677	0.152023	0.145979	0.645510
1.050	16.167958	16.167958	16.167958	16.167958	0.775923	1.066070	1.076003	2.001852
1.060	16.966454	16.966454	16.966454	16.966454	1.676857	2.306564	2.631678	3.743102
1.070	16.698885	16.698885	16.698885	16.698885	3.727258	4.150981	4.474816	5.429365
1.080	15.382063	15.382063	15.382063	15.382063	5.482525	5.391474	6.351772	7.812128
1.090	13.098730	13.098730	13.098730	13.098730	7.222259	7.219569	8.516190	9.846641
1.100	9.992356	9.992356	9.992356	9.992356	9.583326	9.390432	10.376237	11.881154
1.110	6.258125	6.258125	6.258125	6.258125	11.323060	11.251172	12.540655	14.282246
1.120	2.130673	2.130673	2.130673	2.130673	11.913327	12.459021	13.470678	15.656917
1.130	-2.130657	-2.130657	-2.130657	-2.130657	11.897794	14.336083	13.487588	15.308667
1.140	-6.258110	-6.258110	-6.258110	-6.258110	11.323060	14.319760	13.470678	14.960417
1.150	-9.992343	-9.992343	-9.992343	-9.992343	10.158060	14.025959	12.540655	13.604075
1.160	-13.098720	-13.098720	-13.098720	-13.098720	8.402793	13.405713	11.001889	11.551233
1.170	-15.382056	-15.382056	-15.382056	-15.382056	6.927126	11.855096	9.141842	9.846641
1.180	-16.698882	-16.698882	-16.698882	-16.698882	4.892258	10.010679	6.960514	7.133957
1.190	-16.966455	-16.966455	-16.966455	-16.966455	2.841857	8.476385	5.117377	5.081115
1.200	-16.167963	-16.167963	-16.167963	-16.167963	0.511857	5.995399	2.614769	2.350102
1.210	-14.353579	-14.353579	-14.353579	-14.353579	-1.833678	4.150981	0.433441	-0.362582
1.220	-11.637307	-11.637307	-11.637307	-11.637307	-3.588945	1.996440	-1.714067	-2.745345
1.230	-8.189820	-8.189820	-8.189820	-8.189820	-6.214079	-0.468224	-4.199766	-5.458029
1.240	-4.227737	-4.227737	-4.227737	-4.227737	-8.559613	-2.639087	-6.668555	-8.189042
1.250	-0.000009	-0.000009	-0.000009	-0.000009	-10.610014	-5.103751	-9.137345	-10.920055
1.260	4.227719	4.227719	4.227719	4.227719	-11.479881	-6.964490	-10.693020	-12.294726
1.270	8.189804	8.189804	8.189804	8.189804	-11.184748	-8.792586	-10.388649	-11.616555
1.280	11.637294	11.637294	11.637294	11.637294	-10.610014	-9.412832	-10.405559	-11.249976
1.290	14.353570	14.353570	14.353570	14.353570	-9.149880	-8.792586	-9.154254	-9.545384
1.300	16.167958	16.167958	16.167958	16.167958	-7.394613	-8.172339	-6.989836	-7.529200
1.310	16.966454	16.966454	16.966454	16.966454	-5.639346	-6.638045	-5.434161	-5.476358
1.320	16.698885	16.698885	16.698885	16.698885	-3.884078	-5.120073	-3.557205	-3.093595
1.330	15.382064	15.382064	15.382064	15.382064	-1.554078	-3.226689	-1.392786	-0.692503
1.340	13.098731	13.098731	13.098731	13.098731	0.496323	-1.398594	0.771632	2.038510
1.350	9.992357	9.992357	9.992357	9.992357	2.546724	0.755947	2.919140	4.751194
1.360	6.258127	6.258127	6.258127	6.258127	4.892258	2.633009	5.726120	7.482207
1.370	2.130675	2.130675	2.130675	2.130675	7.206726	4.771228	7.890538	10.194891
1.380	-2.130655	-2.130655	-2.130655	-2.130655	8.107659	6.925768	9.124933	11.569562
1.390	-6.258108	-6.258108	-6.258108	-6.258108	8.092126	8.476385	9.429304	11.551233
1.400	-9.992341	-9.992341	-9.992341	-9.992341	8.107659	8.786508	9.446213	11.221312
1.410	-13.098719	-13.098719	-13.098719	-13.098719	6.927126	8.476385	9.141842	10.213220
1.420	-15.382055	-15.382055	-15.382055	-15.382055	5.466992	7.546015	7.569257	8.490299
1.430	-16.698881	-16.698881	-16.698881	-16.698881	4.006858	6.321844	6.047401	6.474115
1.440	-16.966455	-16.966455	-16.966455	-16.966455	1.661324	4.477427	4.474816	4.054694
1.450	-16.167964	-16.167964	-16.167964	-16.167964	-0.373544	2.616687	2.022936	2.038510
1.460	-14.353580	-14.353580	-14.353580	-14.353580	-1.833678	0.445824	0.145979	-0.710832
1.470	-11.637309	-11.637309	-11.637309	-11.637309	-4.458812	-1.708717	-2.322810	-3.423516
1.480	-8.189822	-8.189822	-8.189822	-8.189822	-6.819879	-4.157059	-4.808509	-5.806279
1.490	-4.227739	-4.227739	-4.227739	-4.227739	-8.870280	-6.034121	-6.972927	-8.537292
1.500	-0.000011	-0.000011	-0.000011	-0.000011	-10.035281	-8.482462	-9.458626	-10.241884
1.510	4.227717	4.227717	4.227717	4.227717	-11.200281	-10.947126	-11.639953	-11.231647
1.520	8.189803	8.189803	8.189803	8.189803	-11.479881	-11.567373	-12.874348	-11.928147
1.530	11.637293	11.637293	11.637293	11.637293	-10.594481	-11.877496	-12.248696	-11.579897
1.540	14.353569	14.353569	14.353569	14.353569	-9.429480	-11.861174	-11.623044	-9.911963
1.550	16.167957	16.167957	16.167957	16.167957	-7.689746	-10.947126	-10.084278	-8.189042
1.560	16.966454	16.966454	16.966454	16.966454	-6.214079	-9.722955	-8.528602	-6.172858
1.570	16.698885	16.698885	16.698885	16.698885	-3.884078	-8.172339	-6.364184	-3.771766
1.580	15.382065	15.382065	15.382065	15.382065	-1.849211	-6.327922	-4.487228	-1.389003
1.590	13.098733	13.098733	13.098733	13.098733	0.201190	-4.483504	-2.339719	0.993760
1.600	9.992359	9.992359	9.992359	9.992359	2.546724	-2.312641	0.129070	4.054694
1.610	6.258128	6.258128	6.258128	6.258128	4.892258	-0.468224	2.310398	6.437457
1.620	2.130677	2.130677	2.130677	2.130677	6.927126	1.996440	4.796096	9.168470
1.630	-2.130653	-2.130653	-2.130653	-2.130653	8.682393	4.150981	6.960514	11.899483
1.640	-6.258106	-6.258106	-6.258106	-6.258106	9.862927	5.701597	8.499280	12.907575
1.650	-9.992340	-9.992340	-9.992340	-9.992340	9.272660	7.546015	8.211819	12.577654
1.660	-13.098717	-13.098717	-13.098717	-13.098717	8.387259	7.872460	7.890538	11.551233
1.670	-15.382055	-15.382055	-15.382055	-15.382055	6.927126	7.546015	6.656143	9.846641
1.680	-16.698881	-16.698881	-16.698881	-16.698881	5.171858	6.631967	5.117377	8.142049
1.690	-16.966455	-16.966455	-16.966455	-16.966455	3.416591	5.081351	3.257330	6.107536
1.700	-16.167965	-16.167965	-16.167965	-16.167965	1.366190	3.547057	1.397284	4.073023
1.710	-14.353581	-14.353581	-14.353581	-14.353581	-0.653144	1.996440	-0.767134	1.342010
1.720	-11.637310	-11.637310	-11.637310	-11.637310	-2.998678	-0.484546	-2.948462	-1.407332
1.730	-8.189824	-8.189824	-8.189824	-8.189824	-5.049079	-2.639087	-5.434161	-4.101687
1.740	-4.227740	-4.227740	-4.227740	-4.227740	-7.394613	-4.809950	-7.919860	-6.502779
1.750	-0.000013	-0.000013	-0.000013	-0.000013	-9.445014	-6.931846	-10.388649	-9.233792
1.760	4.227716	4.227716	4.227716	4.227716	-10.330414	-8.792586	-11.639953	-10.590134
1.770	8.189801	8.189801	8.189801	8.189801	-10.314881	-10.653325	-11.031211	-10.223555
1.780	11.637291	11.637291	11.637291	11.637291	-9.740147	-10.963449	-10.405559	-9.563713
1.790	14.353568	14.353568	14.353568	14.353568	-8.264480	-10.947126	-9.458626	-8.189042
1.800	16.167957	16.167957	16.167957	16.167957	-6.804346	-10.637003	-7.598579	-6.502779
1.810	16.966454	16.966454	16.966454	16.966454	-4.769479	-9.412832	-5.738532	-4.449937
1.820	16.698886	16.698886	16.698886	16.698886	-2.998678	-8.188661	-3.878485	-2.048845
1.830	15.382066	15.382066	15.382066	15.382066	-0.948277	-6.311599	-1.714067	0.663839
1.840	13.098734	13.098734	13.098734	13.098734	1.086590	-4.483504	0.771632	3.064931
1.850	9.992360	9.992360	9.992360	9.992360	3.432124	-2.622764	2.631678	5.777615
1.860	6.258130	6.258130	6.258130	6.258130	5.762125	-0.451901	5.404839	8.508628
1.870	2.130678	2.130678	2.130678	2.130678	7.796992	1.702639	7.586167	11.221312
1.880	-2.130651	-2.130651	-2.130651	-2.130651	8.977526	3.840858	9.158752	12.229404
1.890	-6.258105	-6.258105	-6.258105	-6.258105	8.682393	5.701597	9.750585	11.881154
1.900	-9.992338	-9.992338	-9.992338	-9.992338	8.402793	6.305522	10.071865	11.899483
1.910	-13.098716	-13.098716	-13.098716	-13.098716	7.237792	6.305522	9.767494	10.543141
1.920	-15.382054	-15.382054	-15.382054	-15.382054	5.466992	6.321844	8.516190	8.508628
1.930	-16.698881	-16.698881	-16.698881	-16.698881	4.022391	5.097673	6.960514	6.455786
1.940	-16.966455	-16.966455	-16.966455	-16.966455	1.956457	3.236933	5.100468	4.421273
1.950	-16.167965	-16.167965	-16.167965	-16.167965	-0.093944	1.996440	2.936050	2.368431
1.960	-14.353582	-14.353582	-14.353582	-14.353582	-2.128811	-0.158100	0.754722	-0.344253
1.970	-11.637311	-11.637311	-11.637311	-11.637311	-4.163678	-2.312641	-1.392786	-3.405187
1.980	-8.189825	-8.189825	-8.189825	-8.189825	-6.804346	-4.483504	-3.878485	-5.806279
1.990	-4.227742	-4.227742	-4.227742	-4.227742	-8.854747	-6.621723	-6.059813	-8.189042
2.000	-0.000015	-0.000015	-0.000015	-0.000015	-10.019747	-9.086387	-8.224231	-10.241884
2.010	4.227714	4.227714	4.227714	4.227714	-11.200281	-10.947126	-11.014301	-11.598226
2.020	8.189800	8.189800	8.189800	8.189800	-11.495414	-11.583695	-12.248696	-12.624647
2.030	11.637290	11.637290	11.637290	11.637290	-10.594481	-11.257250	-11.927415	-12.276397
2.040	14.353567	14.353567	14.353567	14.353567	-9.429480	-10.963449	-11.318672	-10.571805
2.050	16.167956	16.167956	16.167956	16.167956	-7.984880	-9.429154	-10.084278	-8.518963
2.060	16.966453	16.966453	16.966453	16.966453	-6.229612	-8.188661	-8.207321	-6.832700
2.070	16.698886	16.698886	16.698886	16.698886	-4.474345	-6.638045	-6.364184	-4.120016
2.080	15.382066	15.382066	15.382066	15.382066	-2.128811	-4.483504	-4.487228	-1.718924
2.090	13.098735	13.098735	13.098735	13.098735	-0.093944	-2.328963	-2.356629	1.012089
2.100	9.992362	9.992362	9.992362	9.992362	2.251591	-0.484546	0.145979	3.394852
2.110	6.258132	6.258132	6.258132	6.258132	4.301991	1.996440	2.310398	6.125865
2.120	2.130680	2.130680	2.130680	2.130680	6.647525	4.150981	5.100468	8.490299
2.130	-2.130650	-2.130650	-2.130650	-2.130650	8.977526	6.011721	7.298705	11.221312
2.140	-6.258103	-6.258103	-6.258103	-6.258103	9.567793	6.925768	8.533099	12.595983
2.150	-9.992337	-9.992337	-9.992337	-9.992337	9.272660	7.839816	8.533099	11.899483
2.160	-13.098715	-13.098715	-13.098715	-13.098715	8.402793	7.856138	7.907447	11.202983
2.170	-15.382053	-15.382053	-15.382053	-15.382053	6.942659	7.546015	6.656143	9.516720
2.180	-16.698880	-16.698880	-16.698880	-16.698880	5.171858	5.995399	5.421749	7.830457
2.190	-16.966455	-16.966455	-16.966455	-16.966455	3.416591	4.444782	3.257330	5.777615
2.200	-16.167966	-16.167966	-16.167966	-16.167966	1.381724	2.910488	1.397284	3.394852
2.210	-14.353583	-14.353583	-14.353583	-14.353583	-0.668677	0.755947	-0.784044	0.993760
2.220	-11.637313	-11.637313	-11.637313	-11.637313	-2.998678	-1.414916	-3.269743	-1.737253
2.230	-8.189827	-8.189827	-8.189827	-8.189827	-5.049079	-3.553134	-5.451070	-4.449937
2.240	-4.227744	-4.227744	-4.227744	-4.227744	-7.099479	-5.707675	-7.598579	-7.162621
2.250	-0.000016	-0.000016	-0.000016	-0.000016	-9.429480	-8.188661	-10.101187	-9.233792
2.260	4.227712	4.227712	4.227712	4.227712	-10.299347	-9.722955	-11.623044	-10.938384
2.270	8.189798	8.189798	8.189798	8.189798	-10.019747	-10.947126	-11.031211	-10.223555
2.280	11.637289	11.637289	11.637289	11.637289	-9.429480	-11.257250	-10.388649	-9.911963
2.290	14.353566	14.353566	14.353566	14.353566	-7.969346	-10.637003	-9.779906	-8.537292
