Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	2.857391	4.150981	4.170444	4.384615
0.030	0.000000	0.000000	0.000000	0.000000	2.562257	3.824536	3.866073	4.054694
0.040	0.000000	0.000000	0.000000	0.000000	1.102123	2.926810	2.310398	2.716681
0.050	0.000000	0.000000	0.000000	0.000000	0.216723	1.669995	1.397284	1.671931
0.060	0.000000	0.000000	0.000000	0.000000	-0.358010	0.755947	0.450351	0.663839
0.070	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	0.315589
0.080	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	-0.032661
0.090	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.158392	-0.014332
0.100	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	-0.032661
0.110	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.158392	-0.032661
0.120	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	0.315589
0.130	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	0.315589
0.140	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.014332
0.150	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.158392	-0.032661
0.160	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.462763	-0.032661
0.170	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	-0.032661
0.180	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	0.315589
0.190	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.479673	-0.014332
0.200	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.158392	0.297260
0.210	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.158392	-0.032661
0.220	0.000000	0.000000	0.000000	0.000000	-1.227877	0.152023	-0.158392	-0.014332
0.230	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.462763	0.315589
0.240	0.000000	0.000000	0.000000	0.000000	-1.227877	0.119378	-0.175301	-0.032661
0.250	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	0.315589
0.260	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	0.333918
0.270	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.158392	-0.032661
0.280	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.014332
0.290	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	0.315589
0.300	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	-0.014332
0.310	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	-0.032661
0.320	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.175301	-0.014332
0.330	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	-0.014332
0.340	0.000000	0.000000	0.000000	0.000000	-1.227877	0.152023	-0.496582	-0.032661
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.032661
0.360	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.032661
0.370	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	-0.014332
0.380	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	0.315589
0.390	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.175301	0.315589
0.400	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.032661
0.410	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.175301	-0.032661
0.420	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	-0.175301	-0.014332
0.430	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	-0.175301	-0.032661
0.440	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.014332
0.450	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	0.315589
0.460	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.175301	-0.032661
0.470	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	0.315589
0.480	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.014332
0.490	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.175301	0.333918
0.500	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	-0.014332
0.510	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.158392	0.333918
0.520	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	-0.014332
0.530	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.014332
0.540	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.014332
0.550	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.192211	-0.032661
0.560	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.479673	0.315589
0.570	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.158392	-0.014332
0.580	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.158392	-0.032661
0.590	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.175301	-0.014332
0.600	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	-0.014332
0.610	0.000000	0.000000	0.000000	0.000000	-1.227877	0.119378	-0.158392	-0.032661
0.620	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.175301	-0.032661
0.630	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.141482	-0.014332
0.640	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	-0.032661
0.650	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.175301	-0.014332
0.660	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.462763	-0.014332
0.670	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.014332
0.680	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.479673	-0.032661
0.690	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.175301	-0.032661
0.700	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	-0.032661
0.710	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	-0.014332
0.720	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	-0.032661
0.730	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.175301	0.315589
0.740	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	-0.158392	0.315589
0.750	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	-0.032661
0.760	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.479673	-0.032661
0.770	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.175301	-0.014332
0.780	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.479673	-0.014332
0.790	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.175301	-0.032661
0.800	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.158392	-0.032661
0.810	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.032661
0.820	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.315589
0.830	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.014332
0.840	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	0.315589
0.850	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	0.315589
0.860	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	0.315589
0.870	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
0.880	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.014332
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	0.315589
0.900	0.000000	0.000000	0.000000	0.000000	-1.227877	0.135701	-0.158392	-0.032661
0.910	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	-0.032661
0.920	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	0.297260
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	-0.014332
0.940	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	0.333918
0.950	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	-0.032661
0.960	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.158392	-0.050990
0.970	0.000000	0.000000	0.000000	0.000000	-1.258944	0.119378	-0.175301	-0.032661
0.980	0.000000	0.000000	0.000000	0.000000	-0.963811	0.119378	-0.175301	-0.014332
0.990	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	0.315589
1.000	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	0.315589
1.010	-11.313767	-11.313767	-11.313767	-11.313767	-1.243411	0.119378	-0.175301	-0.032661
1.020	-13.234366	-13.234366	-13.234366	-13.234366	-1.243411	0.135701	-0.158392	-0.032661
1.030	-14.480723	-14.480723	-14.480723	-14.480723	-0.948277	-0.190745	-0.158392	-0.032661
1.040	-14.989342	-14.989342	-14.989342	-14.989342	-1.243411	0.119378	-0.175301	-0.032661
1.050	-14.734310	-14.734310	-14.734310	-14.734310	-1.523011	-0.174423	-0.784044	-0.380911
1.060	-13.728620	-13.728620	-13.728620	-13.728620	-2.703545	-1.382271	-2.035348	-1.718924
1.070	-12.023508	-12.023508	-12.023508	-12.023508	-3.884078	-2.639087	-3.574114	-3.423516
1.080	-9.705844	-9.705844	-9.705844	-9.705844	-5.918946	-4.499826	-5.434161	-5.458029
1.090	-6.893704	-6.893704	-6.893704	-6.893704	-7.674213	-6.327922	-7.311117	-7.840792
1.100	-3.730354	-3.730354	-3.730354	-3.730354	-9.709080	-8.515107	-9.458626	-9.911963
1.110	-0.376958	-0.376958	-0.376958	-0.376958	-10.889614	-9.722955	-11.031211	-11.598226
1.120	2.995643	2.995643	2.995643	2.995643	-10.594481	-10.963449	-11.014301	-11.598226
1.130	6.215628	6.215628	6.215628	6.215628	-10.594481	-12.187619	-10.709930	-11.268305
1.140	9.118949	9.118949	9.118949	9.118949	-9.134347	-11.567373	-10.101187	-9.893634
1.150	11.557694	11.557694	11.557694	11.557694	-7.953813	-10.963449	-8.545512	-7.859121
1.160	13.407618	13.407618	13.407618	13.407618	-5.344212	-8.808908	-5.755442	-5.128108
1.170	14.574474	14.574474	14.574474	14.574474	-3.293811	-6.948168	-3.591024	-2.763674
1.180	14.998816	14.998816	14.998816	14.998816	-2.113278	-6.327922	-2.644091	-1.389003
1.190	14.659023	14.659023	14.659023	14.659023	0.806990	-3.553134	1.059093	2.001852
1.200	13.572409	13.572409	13.572409	13.572409	3.136991	-1.088470	2.919140	4.732865
1.210	11.794331	11.794331	11.794331	11.794331	5.187392	1.066070	5.421749	7.463878
1.220	9.415376	9.415376	9.415376	9.415376	7.237792	2.926810	7.890538	9.846641
1.230	6.556743	6.556743	6.556743	6.556743	9.567793	5.358830	10.054956	12.559325
1.240	3.364068	3.364068	3.364068	3.364068	11.323060	7.546015	12.523745	14.612167
1.250	0.000007	0.000007	0.000007	0.000007	11.913327	9.063987	13.166307	15.638588
1.260	-3.364054	-3.364054	-3.364054	-3.364054	11.633727	10.924727	13.149397	15.290338
1.270	-6.556730	-6.556730	-6.556730	-6.556730	10.173593	10.908404	12.219374	14.263917
1.280	-9.415365	-9.415365	-9.415365	-9.415365	8.697926	10.614603	10.680608	12.595983
1.290	-11.794322	-11.794322	-11.794322	-11.794322	7.253326	9.684233	9.124933	10.873062
1.300	-13.572403	-13.572403	-13.572403	-13.572403	5.187392	8.166262	7.264886	8.490299
1.310	-14.659020	-14.659020	-14.659020	-14.659020	3.136991	6.305522	5.100468	6.089207
1.320	-14.998816	-14.998816	-14.998816	-14.998816	1.102123	4.754905	2.936050	3.706444
1.330	-14.574478	-14.574478	-14.574478	-14.574478	-0.948277	2.290241	0.737813	0.993760
1.340	-13.407625	-13.407625	-13.407625	-13.407625	-3.278278	0.135701	-1.714067	-1.737253
1.350	-11.557704	-11.557704	-11.557704	-11.557704	-5.623812	-2.018840	-4.216676	-4.449937
1.360	-9.118961	-9.118961	-9.118961	-9.118961	-7.674213	-4.173381	-6.685465	-6.832700
1.370	-6.215641	-6.215641	-6.215641	-6.215641	-10.004214	-6.654367	-9.171164	-9.893634
1.380	-2.995658	-2.995658	-2.995658	-2.995658	-12.349748	-8.792586	-11.352491	-12.276397
1.390	0.376943	0.376943	0.376943	0.376943	-12.629348	-10.653325	-12.586886	-12.972897
1.400	3.730340	3.730340	3.730340	3.730340	-12.349748	-12.497743	-11.944325	-12.642976
1.410	6.893691	6.893691	6.893691	6.893691	-11.464348	-12.791544	-11.335582	-11.928147
1.420	9.705833	9.705833	9.705833	9.705833	-10.004214	-12.187619	-10.405559	-9.930292
1.430	12.023500	12.023500	12.023500	12.023500	-8.544080	-10.963449	-8.528602	-8.207371
1.440	13.728614	13.728614	13.728614	13.728614	-6.493679	-9.739278	-6.685465	-5.824608
1.450	14.734307	14.734307	14.734307	14.734307	-4.738412	-8.188661	-4.504137	-3.441845
1.460	14.989342	14.989342	14.989342	14.989342	-2.688011	-6.344244	-2.339719	-0.710832
1.470	14.480727	14.480727	14.480727	14.480727	-0.358010	-4.483504	-0.175301	1.653602
1.480	13.234372	13.234372	13.234372	13.234372	1.987524	-2.345286	2.310398	4.402944
1.490	11.313776	11.313776	11.313776	11.313776	4.333058	-0.174423	4.796096	6.785707
1.500	8.816786	8.816786	8.816786	8.816786	6.367925	1.996440	6.977424	9.498391
1.510	5.870613	5.870613	5.870613	5.870613	8.713459	4.150981	9.141842	12.247733
1.520	2.625355	2.625355	2.625355	2.625355	10.763860	6.305522	11.306260	14.630496
1.530	-0.753656	-0.753656	-0.753656	-0.753656	11.043460	7.856138	12.540655	15.290338
1.540	-4.094270	-4.094270	-4.094270	-4.094270	10.732794	9.390432	12.219374	14.960417
1.550	-7.226297	-7.226297	-7.226297	-7.226297	9.878460	9.684233	11.306260	14.300575
1.560	-9.990171	-9.990171	-9.990171	-9.990171	8.107659	9.390432	9.767494	12.247733
1.570	-12.245084	-12.245084	-12.245084	-12.245084	6.678592	8.770186	8.194909	10.524812
1.580	-13.876155	-13.876155	-13.876155	-13.876155	4.892258	6.909446	6.030491	8.160378
1.590	-14.800288	-14.800288	-14.800288	-14.800288	2.546724	5.375152	4.170444	5.759286
1.600	-14.970402	-14.970402	-14.970402	-14.970402	0.806990	3.514412	1.989117	3.706444
1.610	-14.377829	-14.377829	-14.377829	-14.377829	-1.258944	1.359872	-0.158392	0.627181
1.620	-13.052761	-13.052761	-13.052761	-13.052761	-3.884078	-0.794669	-2.644091	-1.737253
1.630	-11.062703	-11.062703	-11.062703	-11.062703	-5.918946	-3.259333	-5.146699	-4.468266
1.640	-8.509042	-8.509042	-8.509042	-8.509042	-7.969346	-5.413874	-7.615488	-7.529200
1.650	-5.521877	-5.521877	-5.521877	-5.521877	-10.610014	-7.878538	-10.084278	-10.260213
1.660	-2.253393	-2.253393	-2.253393	-2.253393	-12.660415	-10.049401	-12.586886	-12.276397
1.670	1.129892	1.129892	1.129892	1.129892	-13.219615	-11.583695	-13.195629	-13.321147
1.680	4.455614	4.455614	4.455614	4.455614	-12.940015	-13.117989	-12.891257	-12.972897
1.690	7.554340	7.554340	7.554340	7.554340	-11.479881	-13.428113	-12.248696	-12.294726
1.700	10.268199	10.268199	10.268199	10.268199	-10.299347	-12.807866	-10.693020	-9.893634
1.710	12.458933	12.458933	12.458933	12.458933	-8.544080	-11.877496	-8.849883	-8.189042
1.720	14.014931	14.014931	14.014931	14.014931	-6.788813	-10.343202	-6.989836	-6.154529
1.730	14.856920	14.856920	14.856920	14.856920	-4.753945	-8.792586	-4.825418	-3.423516
1.740	14.942005	14.942005	14.942005	14.942005	-2.688011	-6.964490	-2.644091	-1.040753
1.750	14.265851	14.265851	14.265851	14.265851	-0.653144	-4.793627	-0.479673	1.342010
1.760	12.862905	12.862905	12.862905	12.862905	1.661324	-2.655409	2.006026	4.384615
1.770	10.804642	10.804642	10.804642	10.804642	3.727258	-0.794669	4.491725	6.785707
1.780	8.195924	8.195924	8.195924	8.195924	6.367925	1.359872	6.960514	9.498391
1.790	5.169654	5.169654	5.169654	5.169654	8.402793	3.840858	8.820561	11.881154
1.800	1.880009	1.880009	1.880009	1.880009	10.437660	5.995399	11.306260	14.263917
1.810	-1.505415	-1.505415	-1.505415	-1.505415	11.027927	7.546015	11.948822	15.308667
1.820	-4.814144	-4.814144	-4.814144	-4.814144	10.732794	9.063987	11.627541	14.612167
1.830	-7.877610	-7.877610	-7.877610	-7.877610	9.583326	9.080309	10.680608	13.933996
1.840	-10.539742	-10.539742	-10.539742	-10.539742	8.123193	8.770186	9.124933	11.899483
1.850	-12.664913	-12.664913	-12.664913	-12.664913	6.647525	8.166262	7.890538	10.194891
1.860	-14.144854	-14.144854	-14.144854	-14.144854	4.317525	6.305522	5.726120	7.812128
1.870	-14.904168	-14.904168	-14.904168	-14.904168	2.562257	4.771228	3.866073	5.429365
1.880	-14.904171	-14.904171	-14.904171	-14.904171	0.496323	2.584042	1.397284	3.046602
1.890	-14.144862	-14.144862	-14.144862	-14.144862	-1.818144	0.462146	-0.784044	0.315589
1.900	-12.664925	-12.664925	-12.664925	-12.664925	-4.163678	-1.398594	-3.591024	-2.397095
1.910	-10.539757	-10.539757	-10.539757	-10.539757	-6.214079	-3.879580	-5.755442	-4.798187
1.920	-7.877629	-7.877629	-7.877629	-7.877629	-8.544080	-6.344244	-7.919860	-7.529200
1.930	-4.814165	-4.814165	-4.814165	-4.814165	-10.889614	-8.498785	-10.422468	-10.590134
1.940	-1.505437	-1.505437	-1.505437	-1.505437	-12.644881	-10.653325	-12.891257	-12.972897
1.950	1.879987	1.879987	1.879987	1.879987	-13.514748	-12.203942	-13.516910	-13.651068
1.960	5.169633	5.169633	5.169633	5.169633	-12.955548	-13.754558	-13.195629	-13.302818
1.970	8.195906	8.195906	8.195906	8.195906	-11.775014	-13.754558	-12.553067	-12.294726
1.980	10.804627	10.804627	10.804627	10.804627	-10.610014	-13.134312	-11.014301	-10.241884
1.990	12.862894	12.862894	12.862894	12.862894	-9.134347	-12.497743	-9.171164	-8.189042
2.000	14.265844	14.265844	14.265844	14.265844	-7.083946	-10.669648	-7.294208	-5.806279
2.010	14.942003	14.942003	14.942003	14.942003	-5.328679	-9.119031	-5.434161	-3.423516
2.020	14.856923	14.856923	14.856923	14.856923	-2.998678	-7.274614	-3.286652	-0.710832
2.030	14.014938	14.014938	14.014938	14.014938	-0.948277	-5.120073	-1.088415	1.360339
2.040	12.458945	12.458945	12.458945	12.458945	1.397257	-2.965532	1.363465	4.073023
2.050	10.268215	10.268215	10.268215	10.268215	3.432124	-1.104792	3.561702	6.785707
2.060	7.554358	7.554358	7.554358	7.554358	5.777658	1.066070	6.334862	9.516720
2.070	4.455635	4.455635	4.455635	4.455635	8.107659	3.204289	8.516190	11.881154
2.080	1.129914	1.129914	1.129914	1.129914	9.862927	5.375152	10.697518	13.952325
2.090	-2.253372	-2.253372	-2.253372	-2.253372	10.748327	6.942091	11.915003	14.263917
2.100	-5.521857	-5.521857	-5.521857	-5.521857	10.158060	8.770186	11.306260	13.585746
2.110	-8.509024	-8.509024	-8.509024	-8.509024	9.288193	8.753864	10.393146	12.577654
2.120	-11.062688	-11.062688	-11.062688	-11.062688	7.812526	8.770186	9.141842	10.543141
2.130	-13.052750	-13.052750	-13.052750	-13.052750	6.072792	7.546015	7.281795	8.820220
2.140	-14.377823	-14.377823	-14.377823	-14.377823	4.317525	6.305522	5.404839	6.107536
2.150	-14.970400	-14.970400	-14.970400	-14.970400	2.267124	4.461104	3.257330	4.073023
2.160	-14.800291	-14.800291	-14.800291	-14.800291	0.216723	2.600365	1.076003	1.671931
2.170	-13.876163	-13.876163	-13.876163	-13.876163	-2.113278	0.445824	-1.105325	-1.040753
2.180	-12.245096	-12.245096	-12.245096	-12.245096	-4.163678	-2.035162	-3.878485	-3.771766
2.190	-9.990187	-9.990187	-9.990187	-9.990187	-6.493679	-4.189703	-6.059813	-6.484450
2.200	-7.226316	-7.226316	-7.226316	-7.226316	-8.823680	-6.327922	-8.545512	-9.215463
2.210	-4.094291	-4.094291	-4.094291	-4.094291	-11.184748	-8.808908	-10.997392	-11.579897
2.220	-0.753678	-0.753678	-0.753678	-0.753678	-12.940015	-10.963449	-12.891257	-13.614410
2.230	2.625333	2.625333	2.625333	2.625333	-13.235148	-12.220264	-13.500000	-14.292581
2.240	5.870593	5.870593	5.870593	5.870593	-12.940015	-14.048359	-12.874348	-13.962660
2.250	8.816768	8.816768	8.816768	8.816768	-11.479881	-14.032037	-11.944325	-12.606318
2.260	11.313762	11.313762	11.313762	11.313762	-10.019747	-13.428113	-11.014301	-10.571805
2.270	13.234362	13.234362	13.234362	13.234362	-8.544080	-12.497743	-8.832974	-8.867213
