Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	5.498058	7.856138	6.977424	7.812128
0.030	0.000000	0.000000	0.000000	0.000000	4.333058	6.631967	5.726120	6.107536
0.040	0.000000	0.000000	0.000000	0.000000	2.872924	5.375152	4.491725	4.402944
0.050	0.000000	0.000000	0.000000	0.000000	1.692390	3.840858	2.614769	3.046602
0.060	0.000000	0.000000	0.000000	0.000000	0.216723	2.306564	1.076003	1.342010
0.070	0.000000	0.000000	0.000000	0.000000	-0.932744	0.755947	-0.479673	0.315589
0.080	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.468224	-1.409696	-0.674174
0.090	0.000000	0.000000	0.000000	0.000000	-1.243411	-1.398594	-1.697158	-0.344253
0.100	0.000000	0.000000	0.000000	0.000000	-1.243411	-2.639087	-1.392786	-0.362582
0.110	0.000000	0.000000	0.000000	0.000000	-1.243411	-3.243011	-0.784044	-0.362582
0.120	0.000000	0.000000	0.000000	0.000000	-1.523011	-3.879580	-0.462763	-0.344253
0.130	0.000000	0.000000	0.000000	0.000000	-1.243411	-3.879580	-0.479673	-0.362582
0.140	0.000000	0.000000	0.000000	0.000000	-1.243411	-3.553134	-0.158392	-0.362582
0.150	0.000000	0.000000	0.000000	0.000000	-1.243411	-2.639087	-0.462763	-0.014332
0.160	0.000000	0.000000	0.000000	0.000000	-1.538544	-2.002518	-0.462763	-0.344253
0.170	0.000000	0.000000	0.000000	0.000000	-1.243411	-1.104792	-0.479673	-0.362582
0.180	0.000000	0.000000	0.000000	0.000000	-1.523011	-0.484546	-0.462763	-0.014332
0.190	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.362582
0.200	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.462763	-0.014332
0.210	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.362582
0.220	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.325924
0.230	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	0.003997
0.240	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	-0.344253
0.250	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.362582
0.260	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	-0.344253
0.270	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.014332
0.280	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.362582
0.290	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	-0.362582
0.300	0.000000	0.000000	0.000000	0.000000	-1.243411	0.168345	-0.479673	-0.362582
0.310	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.014332
0.320	0.000000	0.000000	0.000000	0.000000	-1.538544	0.135701	-0.479673	-0.362582
0.330	0.000000	0.000000	0.000000	0.000000	-1.258944	0.168345	-0.479673	-0.344253
0.340	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.141778	-0.479673	-0.344253
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.344253
0.360	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.014332
0.370	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.462763	-0.344253
0.380	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.344253
0.390	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	0.003997
0.400	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.014332
0.410	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	-0.344253
0.420	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	0.003997
0.430	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.014332
0.440	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.141778	-0.462763	-0.014332
0.450	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.175301	-0.032661
0.460	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.362582
0.470	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	-0.362582
0.480	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	-0.362582
0.490	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.362582
0.500	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.158392	-0.344253
0.770	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.462763	-0.362582
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.790	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.479673	-0.344253
0.800	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	-0.014332
0.810	0.000000	0.000000	0.000000	0.000000	-1.554078	0.135701	-0.479673	-0.344253
0.820	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	-0.344253
0.830	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	-0.344253
0.840	0.000000	0.000000	0.000000	0.000000	-1.538544	0.152023	-0.479673	-0.032661
0.850	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.462763	-0.362582
0.860	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	-0.362582
0.870	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.479673	-0.674174
0.880	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.479673	-0.344253
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.344253
0.900	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	-0.344253
0.910	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.479673	-0.344253
0.920	0.000000	0.000000	0.000000	0.000000	-1.538544	-0.158100	-0.496582	-0.344253
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.344253
0.940	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.479673	-0.014332
0.950	0.000000	0.000000	0.000000	0.000000	-1.258944	0.119378	-0.479673	-0.344253
0.960	0.000000	0.000000	0.000000	0.000000	-1.554078	0.152023	-0.479673	-0.014332
0.970	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.479673	-0.014332
0.980	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.496582	-0.344253
0.990	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.479673	-0.362582
1.000	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.362582
1.010	-13.615915	-13.615915	-13.615915	-13.615915	-1.243411	0.135701	-0.462763	-0.362582
1.020	-11.242404	-11.242404	-11.242404	-11.242404	-1.554078	0.135701	-0.462763	-0.362582
1.030	-8.231038	-8.231038	-8.231038	-8.231038	-1.258944	0.152023	-0.462763	-0.362582
1.040	-4.752672	-4.752672	-4.752672	-4.752672	-1.554078	-0.158100	-0.462763	-0.344253
1.050	-1.004655	-1.004655	-1.004655	-1.004655	-2.719078	-0.778347	-1.409696	-2.067174
1.060	2.800362	2.800362	2.800362	2.800362	-3.588945	-2.328963	-2.644091	-3.075266
1.070	6.446497	6.446497	6.446497	6.446497	-2.998678	-3.553134	-2.322810	-2.745345
1.080	9.726879	9.726879	9.726879	9.726879	-3.293811	-4.173381	-2.035348	-2.067174
1.090	12.455392	12.455392	12.455392	12.455392	-1.833678	-5.103751	-1.409696	-1.040753
1.100	14.477230	14.477230	14.477230	14.477230	-0.373544	-5.723997	0.433441	1.012089
1.110	15.677679	15.677679	15.677679	15.677679	1.086590	-5.707675	1.684745	2.368431
1.120	15.988632	15.988632	15.988632	15.988632	2.857391	-5.723997	3.882983	4.751194
1.130	15.392445	15.392445	15.392445	15.392445	4.892258	-4.793627	6.030491	7.133957
1.140	13.922944	13.922944	13.922944	13.922944	6.958192	-3.569457	7.890538	9.168470
1.150	11.663503	11.663503	11.663503	11.663503	8.977526	-2.328963	10.376237	11.899483
1.160	8.742316	8.742316	8.742316	8.742316	10.453193	-0.158100	12.253193	14.282246
1.170	5.325120	5.325120	5.325120	5.325120	11.027927	1.376194	13.166307	14.263917
1.180	1.605795	1.605795	1.605795	1.605795	11.027927	3.236933	13.791959	14.612167
1.190	-2.204637	-2.204637	-2.204637	-2.204637	10.453193	5.407796	13.470678	14.300575
1.200	-5.889986	-5.889986	-5.889986	-5.889986	9.288193	6.615645	12.861936	13.274154
1.210	-9.241157	-9.241157	-9.241157	-9.241157	7.828059	7.856138	11.306260	11.221312
1.220	-12.068017	-12.068017	-12.068017	-12.068017	6.072792	8.770186	9.141842	9.186799
1.230	-14.210179	-14.210179	-14.210179	-14.210179	4.006858	9.406755	7.586167	7.133957
1.240	-15.546106	-15.546106	-15.546106	-15.546106	1.956457	9.390432	5.117377	4.421273
1.250	-16.000000	-16.000000	-16.000000	-16.000000	-0.078410	9.390432	3.240421	2.368431
1.260	-15.546110	-15.546110	-15.546110	-15.546110	-2.128811	8.166262	0.771632	-0.362582
1.270	-14.210187	-14.210187	-14.210187	-14.210187	-4.474345	6.615645	-1.714067	-3.093595
1.280	-12.068028	-12.068028	-12.068028	-12.068028	-6.788813	5.065029	-3.878485	-5.824608
1.290	-9.241170	-9.241170	-9.241170	-9.241170	-9.134347	2.926810	-6.685465	-8.189042
1.300	-5.890001	-5.890001	-5.890001	-5.890001	-10.594481	1.082393	-8.849883	-10.571805
1.310	-2.204653	-2.204653	-2.204653	-2.204653	-11.184748	-1.072148	-11.318672	-11.579897
1.320	1.605779	1.605779	1.605779	1.605779	-11.759481	-3.259333	-13.500000	-12.606318
1.330	5.325105	5.325105	5.325105	5.325105	-10.889614	-5.103751	-13.483090	-12.276397
1.340	8.742302	8.742302	8.742302	8.742302	-10.299347	-6.964490	-12.891257	-10.901726
1.350	11.663492	11.663492	11.663492	11.663492	-8.839213	-8.188661	-11.639953	-9.197134
1.360	13.922936	13.922936	13.922936	13.922936	-7.068413	-9.412832	-10.405559	-7.162621
1.370	15.392440	15.392440	15.392440	15.392440	-5.049079	-10.016756	-8.241140	-4.779858
1.380	15.988631	15.988631	15.988631	15.988631	-2.703545	-10.326880	-6.381094	-2.397095
1.390	15.677683	15.677683	15.677683	15.677683	-0.948277	-10.049401	-4.182857	-0.014332
1.400	14.477237	14.477237	14.477237	14.477237	1.381724	-8.808908	-2.018439	2.680023
1.410	12.455403	12.455403	12.455403	12.455403	3.432124	-7.274614	0.450351	5.429365
1.420	9.726892	9.726892	9.726892	9.726892	5.777658	-5.707675	2.631678	8.160378
1.430	6.446512	6.446512	6.446512	6.446512	7.828059	-4.157059	5.100468	10.873062
1.440	2.800378	2.800378	2.800378	2.800378	9.567793	-1.692395	7.264886	12.925904
1.450	-1.004639	-1.004639	-1.004639	-1.004639	9.583326	-0.174423	8.211819	12.907575
1.460	-4.752656	-4.752656	-4.752656	-4.752656	9.288193	1.702639	8.516190	12.559325
1.470	-8.231024	-8.231024	-8.231024	-8.231024	8.107659	3.530735	8.194909	11.221312
1.480	-11.242393	-11.242393	-11.242393	-11.242393	6.367925	4.771228	7.586167	9.535049
1.490	-13.615907	-13.615907	-13.615907	-13.615907	4.907791	6.011721	6.030491	7.812128
1.500	-15.216901	-15.216901	-15.216901	-15.216901	2.857391	6.615645	4.491725	5.777615
1.510	-15.954542	-15.954542	-15.954542	-15.954542	0.806990	6.615645	2.310398	3.394852
1.520	-15.786977	-15.786977	-15.786977	-15.786977	-1.243411	5.685275	0.145979	0.993760
1.530	-14.723713	-14.723713	-14.723713	-14.723713	-3.309345	4.150981	-2.035348	-2.067174
1.540	-12.825078	-12.825078	-12.825078	-12.825078	-5.623812	2.910488	-4.504137	-4.431608
1.550	-10.198792	-10.198792	-10.198792	-10.198792	-7.969346	1.082393	-6.972927	-7.162621
1.560	-6.993861	-6.993861	-6.993861	-6.993861	-10.004214	-1.088470	-9.154254	-9.875305
1.570	-3.392124	-3.392124	-3.392124	-3.392124	-12.349748	-2.949210	-11.623044	-12.624647
1.580	0.402071	0.402071	0.402071	0.402071	-13.530282	-5.103751	-13.483090	-14.329239
1.590	4.173454	4.173454	4.173454	4.173454	-13.530282	-6.948168	-13.804371	-14.659160
1.600	7.708050	7.708050	7.708050	7.708050	-12.940015	-8.482462	-12.874348	-13.999318
1.610	10.805317	10.805317	10.805317	10.805317	-11.479881	-10.049401	-12.265605	-12.276397
1.620	13.289529	13.289529	13.289529	13.289529	-10.004214	-10.963449	-10.388649	-10.205226
1.630	15.019738	15.019738	15.019738	15.019738	-7.984880	-11.257250	-8.528602	-8.170713
1.640	15.897780	15.897780	15.897780	15.897780	-6.214079	-11.877496	-6.364184	-5.806279
1.650	15.873837	15.873837	15.873837	15.873837	-3.884078	-10.947126	-4.504137	-3.093595
1.660	14.949267	14.949267	14.949267	14.949267	-1.833678	-9.722955	-2.018439	-0.674174
1.670	13.176528	13.176528	13.176528	13.176528	0.511857	-8.466140	0.129070	2.020181
1.680	10.656198	10.656198	10.656198	10.656198	2.857391	-6.621723	2.631678	4.751194
1.690	7.531273	7.531273	7.531273	7.531273	4.892258	-5.087428	5.100468	7.482207
1.700	3.979049	3.979049	3.979049	3.979049	6.647525	-2.932888	6.977424	9.516720
1.710	0.201068	0.201068	0.201068	0.201068	7.222259	-1.088470	7.890538	11.221312
1.720	-3.588321	-3.588321	-3.588321	-3.588321	7.532926	1.066070	8.516190	11.899483
1.730	-7.174121	-7.174121	-7.174121	-7.174121	7.237792	2.616687	7.890538	11.569562
1.740	-10.352887	-10.352887	-10.352887	-10.352887	6.057259	4.150981	7.281795	10.873062
1.750	-12.944265	-12.944265	-12.944265	-12.944265	4.581591	5.391474	5.404839	9.186799
1.760	-14.801231	-14.801231	-14.801231	-14.801231	2.857391	6.321844	4.170444	7.133957
1.770	-15.818426	-15.818426	-15.818426	-15.818426	0.806990	6.925768	2.006026	4.751194
1.780	-15.938139	-15.938139	-15.938139	-15.938139	-1.243411	7.546015	-0.158392	2.368431
1.790	-15.153577	-15.153577	-15.153577	-15.153577	-3.309345	7.235892	-2.018439	-0.362582
1.800	-13.509253	-13.509253	-13.509253	-13.509253	-5.344212	6.615645	-4.808509	-2.745345
1.810	-11.098461	-11.098461	-11.098461	-11.098461	-7.689746	5.685275	-6.989836	-5.476358
1.820	-8.057981	-8.057981	-8.057981	-8.057981	-9.724614	4.150981	-9.475535	-7.840792
1.830	-4.560320	-4.560320	-4.560320	-4.560320	-12.365281	2.306564	-11.656863	-10.571805
1.840	-0.803921	-0.803921	-0.803921	-0.803921	-13.530282	0.429502	-13.483090	-12.624647
1.850	2.998089	2.998089	2.998089	2.998089	-13.530282	-1.382271	-13.804371	-12.954568
1.860	6.629998	6.629998	6.629998	6.629998	-12.940015	-3.569457	-13.178719	-12.276397
2.070	-11.935067	-11.935067	-11.935067	-11.935067	-2.998678	0.755947	-5.434161	-5.476358
2.080	-9.076314	-9.076314	-9.076314	-9.076314	-5.033545	-0.468224	-7.902950	-8.189042
2.090	-5.702603	-5.702603	-5.702603	-5.702603	-7.099479	-2.312641	-10.371740	-10.571805
2.100	-2.005345	-2.005345	-2.005345	-2.005345	-8.870280	-4.483504	-12.553067	-12.972897
2.110	1.805688	1.805688	1.805688	1.805688	-8.854747	-6.654367	-12.874348	-12.954568
2.120	5.514274	5.514274	5.514274	5.514274	-9.134347	-8.172339	-11.623044	-12.294726
2.130	8.909998	8.909998	8.909998	8.909998	-8.248947	-10.049401	-11.301763	-10.920055
2.140	11.800200	11.800200	11.800200	11.800200	-7.099479	-11.567373	-9.475535	-9.215463
2.150	14.020900	14.020900	14.020900	14.020900	-5.623812	-12.807866	-7.902950	-7.180950
2.160	15.446103	15.446103	15.446103	15.446103	-3.588945	-13.444435	-5.738532	-4.449937
2.170	15.994947	15.994947	15.994947	15.994947	-1.818144	-13.117989	-3.574114	-2.397095
2.180	15.636293	15.636293	15.636293	15.636293	0.511857	-12.791544	-1.409696	0.333918
2.190	14.390490	14.390490	14.390490	14.390490	2.546724	-11.567373	0.771632	3.046602
2.200	12.328221	12.328221	12.328221	12.328221	4.892258	-10.016756	3.257330	5.777615
2.210	9.566491	9.566491	9.566491	9.566491	6.942659	-8.482462	5.743029	8.160378
2.220	6.261992	6.261992	6.261992	6.261992	8.697926	-6.638045	7.586167	10.873062
2.230	2.602209	2.602209	2.602209	2.602209	9.567793	-4.793627	9.124933	12.595983
2.240	-1.205214	-1.205214	-1.205214	-1.205214	10.453193	-2.639087	10.393146	13.952325
2.250	-4.944258	-4.944258	-4.944258	-4.944258	10.158060	-0.778347	10.376237	14.282246
2.260	-8.402782	-8.402782	-8.402782	-8.402782	8.993060	1.066070	9.446213	12.925904
2.270	-11.384560	-11.384560	-11.384560	-11.384560	7.532926	2.616687	8.194909	11.569562
2.280	-13.720419	-13.720419	-13.720419	-13.720419	5.777658	3.547057	6.656143	9.516720
2.290	-15.277828	-15.277828	-15.277828	-15.277828	3.727258	4.477427	4.796096	7.482207
2.300	-15.968427	-15.968427	-15.968427	-15.968427	1.692390	5.065029	2.631678	5.099444
2.310	-15.753032	-15.753032	-15.753032	-15.753032	-0.373544	4.754905	0.467260	2.368431
2.320	-14.643865	-14.643865	-14.643865	-14.643865	-2.408411	4.461104	-1.697158	-0.014332
2.330	-12.703856	-12.703856	-12.703856	-12.703856	-4.753945	3.857180	-4.487228	-2.745345
2.340	-10.043074	-10.043074	-10.043074	-10.043074	-7.099479	2.306564	-6.668555	-5.458029
2.350	-6.812483	-6.812483	-6.812483	-6.812483	-9.134347	0.772269	-8.832974	-8.189042
2.360	-3.195375	-3.195375	-3.195375	-3.195375	-10.889614	-0.778347	-10.997392	-9.875305
2.370	0.603027	0.603027	0.603027	0.603027	-10.610014	-2.932888	-11.318672	-10.571805
2.380	4.367216	4.367216	4.367216	4.367216	-10.889614	-5.103751	-11.014301	-10.223555
2.390	7.883624	7.883624	7.883624	7.883624	-9.724614	-6.654367	-10.709930	-9.893634
2.400	10.952742	10.952742	10.952742	10.952742	-8.544080	-7.878538	-8.832974	-8.189042
2.410	13.400440	13.400440	13.400440	13.400440	-6.819879	-8.498785	-6.989836	-6.154529
2.420	15.087843	15.087843	15.087843	15.087843	-5.049079	-8.808908	-5.755442	-4.120016
2.430	15.919215	15.919215	15.919215	15.919215	-3.293811	-8.776263	-3.574114	-1.737253
2.440	15.847385	15.847385	15.847385	15.847385	-0.948277	-9.086387	-1.105325	0.993760
2.450	14.876430	14.876430	14.876430	14.876430	1.086590	-8.172339	1.380374	3.376523
2.460	13.061437	13.061437	13.061437	13.061437	3.121457	-6.638045	3.257330	5.759286
2.470	10.505384	10.505384	10.505384	10.505384	5.466992	-5.381229	6.047401	8.490299
2.480	7.353292	7.353292	7.353292	7.353292	7.812526	-3.243011	8.533099	11.202983
2.490	3.784000	3.784000	3.784000	3.784000	10.158060	-2.018840	10.680608	13.622404
2.500	0.000016	0.000016	0.000016	0.000016	11.633727	0.152023	12.540655	15.638588
2.510	-3.783968	-3.783968	-3.783968	-3.783968	11.323060	2.306564	12.540655	15.638588
2.520	-7.353263	-7.353263	-7.353263	-7.353263	10.748327	4.167303	11.627541	14.960417
2.530	-10.505360	-10.505360	-10.505360	-10.505360	9.567793	5.701597	10.376237	13.604075
2.540	-13.061418	-13.061418	-13.061418	-13.061418	7.812526	6.925768	9.124933	11.881154
2.550	-14.876418	-14.876418	-14.876418	-14.876418	5.762125	7.856138	6.960514	9.864970
2.560	-15.847381	-15.847381	-15.847381	-15.847381	4.022391	8.476385	5.421749	7.133957
2.570	-15.919218	-15.919218	-15.919218	-15.919218	1.956457	7.856138	2.936050	5.099444
2.580	-15.087854	-15.087854	-15.087854	-15.087854	-0.373544	7.235892	0.754722	2.350102
2.590	-13.400458	-13.400458	-13.400458	-13.400458	-2.408411	6.011721	-1.714067	-0.380911
2.600	-10.952766	-10.952766	-10.952766	-10.952766	-4.753945	4.167303	-4.199766	-2.727016
2.610	-7.883652	-7.883652	-7.883652	-7.883652	-7.099479	2.306564	-6.364184	-5.806279
2.620	-4.367247	-4.367247	-4.367247	-4.367247	-8.854747	0.462146	-8.866793	-8.207371
2.630	-0.603060	-0.603060	-0.603060	-0.603060	-9.740147	-1.692395	-11.014301	-10.938384
2.640	3.195343	3.195343	3.195343	3.195343	-10.610014	-3.879580	-12.874348	-12.294726
2.650	6.812453	6.812453	6.812453	6.812453	-10.035281	-5.397552	-12.891257	-12.624647
2.660	10.043048	10.043048	10.043048	10.043048	-9.445014	-7.258291	-11.961234	-11.946476
2.670	12.703836	12.703836	12.703836	12.703836	-7.689746	-8.482462	-11.031211	-10.241884
2.680	14.643852	14.643852	14.643852	14.643852	-6.229612	-9.722955	-9.475535	-8.170713
2.690	15.753026	15.753026	15.753026	15.753026	-4.163678	-10.637003	-7.598579	-5.806279
2.700	15.968429	15.968429	15.968429	15.968429	-2.128811	-11.583695	-5.434161	-3.441845
2.710	15.277838	15.277838	15.277838	15.277838	-0.078410	-11.567373	-3.557205	-1.040753
2.720	13.720436	13.720436	13.720436	13.720436	2.251591	-11.877496	-1.088415	1.342010
