Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	-17.895150	-17.427071	-17.203184	-18.746515
0.030	0.000000	0.000000	0.000000	0.000000	-17.910683	-17.443393	-17.203184	-18.398265
0.040	0.000000	0.000000	0.000000	0.000000	-17.615550	-17.116947	-16.881903	-18.746515
0.050	0.000000	0.000000	0.000000	0.000000	-16.450549	-15.892777	-16.273161	-17.390173
0.060	0.000000	0.000000	0.000000	0.000000	-14.990416	-14.978729	-14.413114	-15.355660
0.070	0.000000	0.000000	0.000000	0.000000	-12.940015	-13.117989	-12.569977	-12.954568
0.080	0.000000	0.000000	0.000000	0.000000	-11.169214	-10.979771	-10.676111	-10.920055
0.090	0.000000	0.000000	0.000000	0.000000	-9.134347	-9.184320	-8.511693	-8.207371
0.100	0.000000	0.000000	0.000000	0.000000	-7.083946	-6.948168	-6.042903	-5.824608
0.110	0.000000	0.000000	0.000000	0.000000	-5.033545	-4.793627	-3.878485	-3.423516
0.120	0.000000	0.000000	0.000000	0.000000	-2.998678	-3.243011	-2.001529	-1.389003
0.130	0.000000	0.000000	0.000000	0.000000	-0.948277	-1.398594	-0.750225	-0.014332
0.140	0.000000	0.000000	0.000000	0.000000	0.232256	-0.158100	-0.141482	0.645510
0.150	0.000000	0.000000	0.000000	0.000000	-0.078410	0.152023	0.162889	0.993760
0.160	0.000000	0.000000	0.000000	0.000000	-0.373544	0.445824	0.145979	0.682168
0.170	0.000000	0.000000	0.000000	0.000000	-0.963811	0.462146	0.145979	0.663839
0.180	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.315589
0.190	0.000000	0.000000	0.000000	0.000000	-1.258944	0.119378	0.129070	0.663839
0.200	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.145979	0.315589
0.210	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.129070	0.315589
0.220	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.145979	0.315589
0.230	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.333918
0.240	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.158392	0.663839
0.250	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.333918
0.260	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.158392	0.297260
0.270	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.129070	0.297260
0.280	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.663839
0.290	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.315589
0.300	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.129070	0.297260
0.310	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.141778	-0.175301	0.315589
0.320	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	0.315589
0.330	0.000000	0.000000	0.000000	0.000000	-1.243411	0.119378	0.145979	0.663839
0.340	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.663839
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.162889	0.663839
0.360	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.129070	0.663839
0.370	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.333918
0.380	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.145979	0.663839
0.390	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.145979	0.297260
0.400	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	0.129070	0.333918
0.410	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.175301	0.297260
0.420	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.175301	0.645510
0.430	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.145979	0.333918
0.440	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.145979	0.315589
0.450	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.145979	0.682168
0.460	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.145979	0.315589
0.470	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.162889	0.645510
0.480	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.141778	-0.158392	0.663839
0.490	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.645510
0.500	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.145979	0.315589
0.510	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.145979	0.315589
0.520	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.145979	0.315589
0.530	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.145979	0.315589
0.540	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.129070	0.297260
0.550	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.129070	0.682168
0.560	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.129070	0.645510
0.570	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.145979	0.645510
0.580	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.129070	0.315589
0.590	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	0.145979	0.645510
0.600	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	0.315589
0.610	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.129070	0.315589
0.620	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.129070	0.333918
0.630	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.129070	0.315589
0.640	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
0.650	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.645510
0.660	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.129070	0.315589
0.670	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	0.162889	0.645510
0.680	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	0.145979	0.315589
0.690	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.333918
0.700	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	0.129070	0.663839
0.710	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.645510
0.720	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.682168
0.730	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.315589
0.740	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.145979	0.315589
0.750	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.682168
0.760	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	0.315589
0.770	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.315589
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.315589
0.790	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.145979	0.315589
0.800	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.145979	0.315589
0.810	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	0.315589
0.820	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.145979	0.645510
0.830	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	0.645510
0.840	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.129070	0.645510
0.850	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.333918
0.860	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	0.663839
0.870	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	-0.014332
0.880	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.158392	0.333918
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.645510
0.900	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.175301	0.663839
0.910	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.141482	0.315589
0.920	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.162889	0.315589
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.333918
0.940	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	0.145979	0.663839
0.950	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.141778	0.145979	0.645510
0.960	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.141778	0.145979	0.663839
0.970	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	0.663839
0.980	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	0.129070	0.333918
0.990	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	0.145979	0.663839
1.000	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	0.315589
1.010	-0.934329	-0.934329	-0.934329	-0.934329	-1.243411	0.152023	0.145979	0.333918
1.020	-0.915241	-0.915241	-0.915241	-0.915241	-1.243411	0.152023	-0.158392	0.663839
1.030	-0.893841	-0.893841	-0.893841	-0.893841	-1.538544	0.152023	0.145979	0.645510
1.040	-0.870184	-0.870184	-0.870184	-0.870184	-1.243411	-0.158100	-0.141482	0.315589
1.050	-0.844328	-0.844328	-0.844328	-0.844328	-1.538544	-0.468224	-0.158392	-0.362582
1.060	-0.816339	-0.816339	-0.816339	-0.816339	-1.523011	-0.778347	-0.158392	-0.344253
1.070	-0.786288	-0.786288	-0.786288	-0.786288	-1.538544	-0.794669	-0.462763	-0.692503
1.080	-0.754251	-0.754251	-0.754251	-0.754251	-1.833678	-0.778347	-0.479673	-0.710832
1.090	-0.720309	-0.720309	-0.720309	-0.720309	-1.538544	-0.778347	-0.784044	-0.362582
1.100	-0.684547	-0.684547	-0.684547	-0.684547	-1.523011	-0.794669	-0.479673	-0.729161
1.110	-0.647056	-0.647056	-0.647056	-0.647056	-1.833678	-0.778347	-0.784044	-0.710832
1.120	-0.607930	-0.607930	-0.607930	-0.607930	-1.818144	-0.468224	-0.479673	-0.710832
1.130	-0.567269	-0.567269	-0.567269	-0.567269	-1.523011	-0.468224	-0.479673	-0.710832
1.140	-0.525175	-0.525175	-0.525175	-0.525175	-1.833678	-0.762025	-0.784044	-0.362582
1.150	-0.481754	-0.481754	-0.481754	-0.481754	-1.833678	-0.778347	-0.479673	-0.692503
1.160	-0.437116	-0.437116	-0.437116	-0.437116	-1.554078	-0.762025	-0.479673	-0.692503
1.170	-0.391374	-0.391374	-0.391374	-0.391374	-1.818144	-0.778347	-0.479673	-0.710832
1.180	-0.344643	-0.344643	-0.344643	-0.344643	-1.538544	-0.451901	-0.479673	-0.692503
1.190	-0.297042	-0.297042	-0.297042	-0.297042	-1.818144	-0.778347	-0.462763	-0.344253
1.200	-0.248690	-0.248690	-0.248690	-0.248690	-1.849211	-0.778347	-0.479673	-0.710832
1.210	-0.199710	-0.199710	-0.199710	-0.199710	-1.538544	-0.468224	-0.784044	-0.710832
1.220	-0.150226	-0.150226	-0.150226	-0.150226	-1.554078	-0.778347	-0.479673	-0.710832
1.230	-0.100362	-0.100362	-0.100362	-0.100362	-1.538544	-0.778347	-0.784044	-0.710832
1.240	-0.050244	-0.050244	-0.050244	-0.050244	-1.833678	-0.778347	-0.462763	-0.710832
1.250	-0.000000	-0.000000	-0.000000	-0.000000	-1.538544	-0.468224	-0.462763	-0.692503
1.260	0.050244	0.050244	0.050244	0.050244	-1.833678	-0.468224	-0.462763	-0.674174
1.270	0.100362	0.100362	0.100362	0.100362	-1.833678	-0.484546	-0.462763	-0.344253
1.280	0.150225	0.150225	0.150225	0.150225	-1.554078	-0.468224	-0.175301	-0.362582
1.290	0.199710	0.199710	0.199710	0.199710	-1.538544	-0.468224	-0.462763	-0.032661
1.300	0.248690	0.248690	0.248690	0.248690	-1.538544	-0.484546	-0.158392	-0.032661
1.310	0.297041	0.297041	0.297041	0.297041	-1.538544	-0.484546	-0.175301	0.003997
1.320	0.344643	0.344643	0.344643	0.344643	-1.554078	-0.468224	-0.141482	-0.032661
1.330	0.391374	0.391374	0.391374	0.391374	-1.227877	-0.451901	-0.158392	-0.032661
1.340	0.437116	0.437116	0.437116	0.437116	-1.243411	-0.158100	-0.158392	0.333918
1.350	0.481754	0.481754	0.481754	0.481754	-1.243411	-0.158100	-0.158392	0.315589
1.360	0.525175	0.525175	0.525175	0.525175	-1.243411	-0.158100	0.129070	0.645510
1.370	0.567269	0.567269	0.567269	0.567269	-0.948277	-0.174423	-0.175301	0.315589
1.380	0.607930	0.607930	0.607930	0.607930	-0.948277	-0.158100	0.129070	0.315589
1.390	0.647056	0.647056	0.647056	0.647056	-0.963811	-0.158100	-0.175301	0.315589
1.400	0.684547	0.684547	0.684547	0.684547	-0.948277	-0.158100	0.145979	0.315589
1.410	0.720309	0.720309	0.720309	0.720309	-0.948277	-0.158100	0.145979	0.663839
1.420	0.754251	0.754251	0.754251	0.754251	-0.963811	0.152023	0.145979	0.645510
1.430	0.786288	0.786288	0.786288	0.786288	-0.948277	0.135701	0.145979	0.663839
1.440	0.816339	0.816339	0.816339	0.816339	-0.668677	0.152023	0.145979	0.645510
1.450	0.844328	0.844328	0.844328	0.844328	-0.948277	0.152023	0.450351	0.645510
1.460	0.870184	0.870184	0.870184	0.870184	-0.668677	0.152023	0.129070	0.663839
1.470	0.893841	0.893841	0.893841	0.893841	-0.653144	0.152023	0.145979	0.645510
1.480	0.915241	0.915241	0.915241	0.915241	-0.668677	0.152023	0.467260	0.663839
1.490	0.934329	0.934329	0.934329	0.934329	-0.653144	0.135701	0.162889	0.663839
1.500	0.951056	0.951056	0.951056	0.951056	-0.668677	0.135701	0.467260	0.993760
1.510	0.965382	0.965382	0.965382	0.965382	-0.668677	0.152023	0.450351	1.012089
1.520	0.977268	0.977268	0.977268	0.977268	-0.668677	0.462146	0.450351	1.012089
1.530	0.986686	0.986686	0.986686	0.986686	-0.668677	0.135701	0.467260	1.012089
1.540	0.993611	0.993611	0.993611	0.993611	-0.389077	0.152023	0.467260	1.012089
1.550	0.998027	0.998027	0.998027	0.998027	-0.668677	0.462146	0.771632	0.663839
1.560	0.999921	0.999921	0.999921	0.999921	-0.668677	0.445824	0.450351	1.012089
1.570	0.999289	0.999289	0.999289	0.999289	-0.668677	0.445824	0.467260	1.012089
1.580	0.996134	0.996134	0.996134	0.996134	-0.668677	0.772269	0.450351	0.645510
1.590	0.990461	0.990461	0.990461	0.990461	-0.668677	0.445824	0.771632	0.645510
1.600	0.982287	0.982287	0.982287	0.982287	-0.373544	0.462146	0.450351	0.993760
1.610	0.971632	0.971632	0.971632	0.971632	-0.389077	0.445824	0.450351	1.012089
1.620	0.958522	0.958522	0.958522	0.958522	-0.668677	0.445824	0.450351	0.993760
1.630	0.942991	0.942991	0.942991	0.942991	-0.358010	0.462146	0.467260	0.993760
1.640	0.925077	0.925077	0.925077	0.925077	-0.373544	0.755947	0.467260	1.012089
1.650	0.904827	0.904827	0.904827	0.904827	-0.373544	0.445824	0.162889	1.012089
1.660	0.882291	0.882291	0.882291	0.882291	-0.373544	0.445824	0.467260	1.012089
1.670	0.857527	0.857527	0.857527	0.857527	-0.373544	0.755947	0.450351	1.012089
1.680	0.830596	0.830596	0.830596	0.830596	-0.373544	0.462146	0.467260	0.993760
1.690	0.801567	0.801567	0.801567	0.801567	-0.358010	0.755947	0.467260	1.012089
1.700	0.770513	0.770513	0.770513	0.770513	-0.373544	0.429502	0.450351	1.012089
1.710	0.737513	0.737513	0.737513	0.737513	-0.373544	0.772269	0.450351	1.012089
1.720	0.702650	0.702650	0.702650	0.702650	-0.373544	0.445824	0.450351	0.975431
1.730	0.666012	0.666012	0.666012	0.666012	-0.358010	0.772269	0.450351	0.993760
1.740	0.627691	0.627691	0.627691	0.627691	-0.373544	0.755947	0.450351	1.012089
1.750	0.587785	0.587785	0.587785	0.587785	-0.373544	0.755947	0.467260	0.993760
1.760	0.546394	0.546394	0.546394	0.546394	-0.373544	0.462146	0.450351	1.012089
1.770	0.503623	0.503623	0.503623	0.503623	-0.653144	0.462146	0.467260	0.993760
1.780	0.459580	0.459580	0.459580	0.459580	-0.373544	0.772269	0.450351	1.030418
1.790	0.414376	0.414376	0.414376	0.414376	-0.358010	0.772269	0.450351	1.030418
1.800	0.368125	0.368125	0.368125	0.368125	-0.653144	0.445824	0.145979	1.342010
1.810	0.320944	0.320944	0.320944	0.320944	-0.358010	0.445824	0.467260	1.342010
1.820	0.272952	0.272952	0.272952	0.272952	-0.373544	0.462146	0.467260	1.012089
1.830	0.224271	0.224271	0.224271	0.224271	-0.653144	0.462146	0.450351	1.012089
1.840	0.175023	0.175023	0.175023	0.175023	-0.668677	0.445824	0.450351	0.993760
1.850	0.125333	0.125333	0.125333	0.125333	-0.653144	0.772269	0.467260	1.012089
1.860	0.075327	0.075327	0.075327	0.075327	-0.653144	0.445824	0.450351	1.012089
1.870	0.025130	0.025130	0.025130	0.025130	-0.637611	0.462146	0.450351	0.663839
1.880	-0.025130	-0.025130	-0.025130	-0.025130	-0.653144	0.445824	0.145979	0.645510
1.890	-0.075327	-0.075327	-0.075327	-0.075327	-0.963811	0.445824	0.145979	0.645510
1.900	-0.125333	-0.125333	-0.125333	-0.125333	-0.963811	0.152023	0.450351	0.663839
1.910	-0.175023	-0.175023	-0.175023	-0.175023	-0.963811	0.152023	0.145979	0.663839
1.920	-0.224271	-0.224271	-0.224271	-0.224271	-0.948277	0.152023	0.162889	0.315589
1.930	-0.272952	-0.272952	-0.272952	-0.272952	-0.932744	-0.141778	0.145979	0.315589
1.940	-0.320943	-0.320943	-0.320943	-0.320943	-0.948277	0.152023	0.145979	0.333918
1.950	-0.368124	-0.368124	-0.368124	-0.368124	-1.243411	-0.174423	0.145979	0.315589
1.960	-0.414375	-0.414375	-0.414375	-0.414375	-1.243411	-0.158100	0.145979	0.315589
1.970	-0.459580	-0.459580	-0.459580	-0.459580	-1.243411	-0.158100	-0.158392	0.315589
1.980	-0.503623	-0.503623	-0.503623	-0.503623	-1.243411	-0.158100	-0.175301	0.315589
1.990	-0.546394	-0.546394	-0.546394	-0.546394	-1.243411	-0.158100	-0.158392	-0.014332
2.000	-0.587785	-0.587785	-0.587785	-0.587785	-1.258944	-0.468224	-0.175301	-0.014332
2.010	-0.627691	-0.627691	-0.627691	-0.627691	-1.243411	-0.158100	0.129070	-0.014332
2.020	-0.666012	-0.666012	-0.666012	-0.666012	-1.538544	-0.158100	-0.158392	-0.032661
2.030	-0.702650	-0.702650	-0.702650	-0.702650	-1.538544	-0.468224	-0.175301	-0.380911
2.040	-0.737513	-0.737513	-0.737513	-0.737513	-1.538544	-0.468224	-0.175301	-0.032661
2.050	-0.770513	-0.770513	-0.770513	-0.770513	-1.538544	-0.468224	-0.175301	-0.362582
2.060	-0.801567	-0.801567	-0.801567	-0.801567	-1.538544	-0.468224	-0.158392	-0.344253
2.070	-0.830596	-0.830596	-0.830596	-0.830596	-1.554078	-0.468224	-0.158392	-0.344253
2.080	-0.857527	-0.857527	-0.857527	-0.857527	-1.833678	-0.468224	-0.462763	-0.362582
2.090	-0.882291	-0.882291	-0.882291	-0.882291	-1.849211	-0.484546	-0.462763	-0.344253
2.100	-0.904827	-0.904827	-0.904827	-0.904827	-1.849211	-0.762025	-0.479673	-0.710832
2.110	-0.925077	-0.925077	-0.925077	-0.925077	-1.538544	-0.468224	-0.462763	-0.710832
2.120	-0.942990	-0.942990	-0.942990	-0.942990	-1.833678	-0.468224	-0.479673	-0.710832
2.130	-0.958522	-0.958522	-0.958522	-0.958522	-1.833678	-0.468224	-0.479673	-0.362582
2.140	-0.971632	-0.971632	-0.971632	-0.971632	-1.818144	-0.778347	-0.784044	-0.692503
2.150	-0.982287	-0.982287	-0.982287	-0.982287	-1.818144	-0.778347	-0.784044	-0.692503
2.160	-0.990461	-0.990461	-0.990461	-0.990461	-1.833678	-0.762025	-0.462763	-0.692503
2.170	-0.996134	-0.996134	-0.996134	-0.996134	-1.833678	-0.778347	-0.479673	-0.674174
2.180	-0.999289	-0.999289	-0.999289	-0.999289	-1.833678	-0.778347	-0.784044	-0.692503
2.190	-0.999921	-0.999921	-0.999921	-0.999921	-1.833678	-0.762025	-0.784044	-0.710832
2.200	-0.998027	-0.998027	-0.998027	-0.998027	-1.833678	-0.778347	-0.479673	-0.362582
2.210	-0.993611	-0.993611	-0.993611	-0.993611	-1.833678	-0.778347	-0.784044	-0.692503
2.220	-0.986686	-0.986686	-0.986686	-0.986686	-1.818144	-0.778347	-0.784044	-0.710832
2.230	-0.977268	-0.977268	-0.977268	-0.977268	-1.833678	-0.794669	-0.462763	-0.710832
2.240	-0.965382	-0.965382	-0.965382	-0.965382	-2.113278	-0.794669	-0.784044	-0.344253
2.250	-0.951057	-0.951057	-0.951057	-0.951057	-1.833678	-0.778347	-0.767134	-0.729161
2.260	-0.934329	-0.934329	-0.934329	-0.934329	-1.833678	-0.468224	-0.784044	-0.692503
2.270	-0.915241	-0.915241	-0.915241	-0.915241	-1.833678	-0.778347	-0.784044	-0.692503
2.280	-0.893842	-0.893842	-0.893842	-0.893842	-1.833678	-0.762025	-0.784044	-0.710832
